,college
0,National Law School of India University
1,National Law University
2,Nalsar University of Law
3,The West Bengal National University of Juridicial Sciences
4,"Jamia Millia Islamia,New Delhi"
5,Symbiosis Law School
6,Gujarat National Law University
7,Siksha `O` Anusandhan
8,Indian Institute of Technology Kharagpur
9,Babasheb Bhimrao Ambedkar University
10,Saveetha Institute of Medical and Technical Sciences
11,Kalinga Institute of Industrial Technology
12,Christ University
13,Aligarh Muslim University
14,Shanmugha Arts Science Technology & Research Academy
15,Lovely Professional University
16,Indian Law Institute
17,"National Law Institute University, Bhopal"
18,Guru Gobind Singh Indraprastha University
19,"The Rajiv Gandhi National University of Law, Patiala"
20,"Dr. Ram Manohar Lohiya National Law University, Lucknow"
21,Banaras Hindu University
22,"Amity University Haryana, Gurgaon"
23,National University of Study & Research in Law
24,Alliance University
25,"Army Institute of Law, Sector-68"
26,Nirma University
27,National Law University and Judicial Academy
28,Manipal University Jaipur
29,"All India Institute of Medical Sciences, Delhi"
30,Post Graduate Institute of Medical Education and Research
31,"Christian Medical College, Brown Road, Ludhiana"
32,National Institute of Mental Health & Neuro Sciences
33,Jawaharlal Institute of Post Graduate Medical Education & Research
34,Amrita Vishwa Vidyapeetham
35,Sanjay Gandhi Postgraduate Institute of Medical Sciences
36,"Kasturba Medical College, Manipal"
37,Sree Chitra Tirunal Institute for Medical Sciences and Technology
38,Madras Medical College & Government General Hospital
39,King George`s Medical University
40,All India Institute of Medical Sciences Jodhpur
41,Vardhman Mahavir Medical College & Safdarjung Hospital
42,Dr. D. Y. Patil Vidyapeeth
43,All India Institute of Medical Sciences Bhubaneswar
44,St. John's Medical College
45,S.R.M. Institute of Science and Technology
46,Sri Ramachandra Institute of Higher Education and Research
47,"All India Institute of Medical Sciences, Rishikesh"
48,Institute of Liver and Biliary Sciences
49,Institute of Post Graduate Medical Education & Research
50,Datta Meghe Institute of Higher Education and Research
51,"All India Institute of Medical Sciences, Patna"
52,Jamia Hamdard
53,"Kasturba Medical College, Mangalore"
54,Lady Hardinge Medical College
55,Govt. Medical College & Hospital
56,Maulana Azad Medical College
57,Maharishi Markandeshwar
58,Dayanand Medical College
59,University College of Medical Sciences
60,"JSS Medical College, Mysore"
61,All India Institute of Medical Sciences Bhopal
62,All India Institute of Medical Sciences Raipur
63,PSG Institute of Medical Sciences & Research
64,Gujarat Cancer & Research Institute
65,Christian Medical College
66,M. S. Ramaiah Medical College
67,Government Medical College Thiruvananthapuram
68,Medical College
69,Sawai Man Singh Medical College
70,Mahatma Gandhi Medical College and Research Institute
71,Chettinad Academy of Research and Education
72,"Pt. B.D.Sharma, PGIMS "
73,B. J. Medical College
74,Indian Institute of Technology Madras
75,Indian Institute of Science
76,Indian Institute of Technology Delhi
77,Indian Institute of Technology Bombay
78,Indian Institute of Technology Kanpur
79,Indian Institute of Technology Roorkee
80,Indian Institute of Technology Guwahati
81,Jawaharlal Nehru University
82,Jadavpur University
83,Indian Institute of Technology Hyderabad
84,Manipal Academy of Higher Education-Manipal
85,Vellore Institute of Technology
86,Anna University
87,University of Hyderabad
88,National Institute of Technology Tiruchirappalli
89,University of Delhi
90,Calcutta University
91,Indian Institute of Technology Gandhinagar
92,Birla Institute of Technology  & Science -Pilani
93,Indian Institute of Technology Indore
94,Homi Bhabha National Institute
95,Indian Institute of Technology (Banaras Hindu University) Varanasi
96,Indian Institute of Technology Ropar
97,Indian Institute of Science Education & Research Pune
98,Savitribai Phule Pune University
99,Bharathiar University
100,National Institute of Technology Rourkela
101,"National Institute of Technology Karnataka, Surathkal"
102,Thapar Institute of Engineering and Technology (Deemed-to-be-university)
103,Institute of Chemical Technology
104,Indian Institute of Technology (Indian School of Mines)
105,Indian Institute of Science Education & Research Kolkata
106,Panjab University
107,Chandigarh University
108,Kerala University
109,Kalasalingam Academy of Research and Education
110,Koneru Lakshmaiah Education Foundation University (K L College of Engineering)
111,"Indian Institute of Science Education & Research, Mohali"
112,"Mahatma Gandhi University, Kottayam"
113,National Institute of Technology Warangal
114,National Institute of Technology Calicut
115,JSS Academy of Higher Education and Research
116,Alagappa University
117,Amity University
118,University of Kashmir
119,Symbiosis International
120,Indian Institute of Science Education & Research Bhopal
121,Delhi Technological University
122,Malaviya National Institute of Technology
123,Cochin University of Science and Technology
124,Osmania University
125,University of Madras
126,"Indian Institute of Engineering Science and Technology, Shibpur"
127,Indian Institute of Technology Jodhpur
128,Indian Institute of Technology Patna
129,Bharathidasan University
130,Mysore University
131,"Dr. B R Ambedkar National Institute of Technology, Jalandhar"
132,Indian Institute of Technology Mandi
133,"Punjab Agricultural University, Ludhiana"
134,"Andhra University, Visakhapatnam"
135,UPES
136,Sri Sivasubramaniya Nadar College of Engineering
137,"Visvesvaraya National Institute of Technology, Nagpur"
138,National Institute of Technology Silchar
139,Sathyabama Institute of Science and Technology
140,Gujarat University
141,Guru Nanak Dev University
142,SVKM`s Narsee Monjee Institute of Management Studies
143,Graphic Era University
144,National Institute of Technology Durgapur
145,Indian Institute of Technology Bhubaneswar
146,Visvesvaraya Technological University
147,Tamil Nadu Agricultural University
148,Madurai Kamaraj University
149,Shiv Nadar University
150,Mumbai University
151,Banasthali Vidyapith
152,Indian Institute of Management Calcutta
153,Birla Institute of Technology
154,Indian Institute of Space Science and Technology
155,Motilal Nehru National Institute of Technology
156,National Institute of Technology Delhi
157,International Institute of Information Technology Hyderabad
158,National Institute of Technology Patna
159,Defence Institute of Advanced Technology
160,National Institute of Technology Kurukshetra
161,"Indian Institute of Technology, Tirupati"
162,Netaji Subhas University of Technology (NSUT)
163,Manipal Institute of Technology
164,PSG College of Technology
165,Sardar Vallabhbhai National Institute of Technology
166,Indian Institute of Technology Jammu
167,Indian Institute of Technology Palakkad
168,"National Institute of Technology, Raipur"
169,National Institute of Technology Meghalaya
170,"College of Engineering, Pune"
171,International Institute of Information Technology Bangalore
172,Indraprastha Institute of Information Technology Delhi
173,Sri Krishna College of Engineering and Technology
174,M. S. Ramaiah Institute of Technology
175,Rajiv Gandhi Institute of Petroleum Technology
176,Maulana Azad National Institute of Technology
177,Indian Institute of Technology Bhilai
178,National Institute of Technology Srinagar
179,Jawaharlal Nehru Technological University
180,"Vignan's Foundation for Science, Technology and Research"
181,Rajalakshmi Engineering College
182,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology
183,Atal Bihari Vajpayee Indian Institute of Information Technology and Management
184,Indian Institute of Information Technology Allahabad
185,National Institute of Technology Goa
186,National Institute of Technology Agartala
187,Chitkara  University
188,Indian Institute Of Technology Dharwad
189,AU College of Engineering (A)
190,National Institute of Technology Manipur
191,R.V. College of Engineering
192,"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM)"
193,SR University
194,"C.V. Raman Global University, Odisha"
